,state,county_fips,county,m_housing,m_food,m_transport,m_health,m_other,m_taxes,m_total,a_housing,a_food,a_transport,a_health,a_other,a_taxes,a_total,median_family_income,num_counties_in_state,state_cost_rank,state_median_aff_rank,state_income_rank,min_wage,m_income,a_income,a_ratio,m_ratio
1,AL,1001,Autauga County,817,335,1110,510,408,624,3803,9804,4020,13320,6120,4896,7488,45636,83790,67,8,58,7,7.25,1276,15080,0.33044088,0.335524586
2,AL,1003,Baldwin County,924,379,1114,480,461,666,4025,11088,4548,13368,5760,5532,7992,48300,89953,67,4,62,4,7.25,1276,15080,0.312215321,0.317018634
3,AL,1005,Barbour County,558,322,1059,470,312,514,3235,6696,3864,12708,5640,3744,6168,38820,55672,67,63,16,58,7.25,1276,15080,0.388459557,0.394435858
4,AL,1007,Bibb County,652,306,1175,518,339,579,3569,7824,3672,14100,6216,4068,6948,42828,70064,67,19,34,25,7.25,1276,15080,0.352106099,0.357523116
5,AL,1009,Blount County,605,302,1150,518,321,556,3453,7260,3624,13800,6216,3852,6672,41436,73528,67,9,32,16,7.25,1276,15080,0.363934743,0.369533739
6,AL,1011,Bullock County,620,360,1208,470,347,582,3586,7440,4320,14496,5640,4164,6984,43032,43750,67,21,2,66,7.25,1276,15080,0.350436884,0.355828221
7,AL,1013,Butler County,576,306,1221,487,312,558,3461,6912,3672,14652,5844,3744,6696,41532,59217,67,35,14,56,7.25,1276,15080,0.363093518,0.368679572
8,AL,1015,Calhoun County,605,337,1065,489,334,540,3369,7260,4044,12780,5868,4008,6480,40428,68959,67,43,44,28,7.25,1276,15080,0.373008806,0.378747403
9,AL,1017,Chambers County,688,305,1103,470,352,561,3480,8256,3660,13236,5640,4224,6732,41760,60000,67,29,12,51,7.25,1276,15080,0.361111111,0.366666667
10,AL,1019,Cherokee County,574,310,1117,487,313,533,3335,6888,3720,13404,5844,3756,6396,40020,63429,67,64,40,41,7.25,1276,15080,0.376811594,0.382608696
11,AL,1021,Chilton County,617,326,1131,518,334,563,3489,7404,3912,13572,6216,4008,6756,41868,72090,67,30,49,19,7.25,1276,15080,0.360179612,0.365720837
12,AL,1023,Choctaw County,560,313,1169,470,309,538,3359,6720,3756,14028,5640,3708,6456,40308,64349,67,51,30,39,7.25,1276,15080,0.374119282,0.379874963
13,AL,1025,Clarke County,560,307,1140,487,307,533,3335,6720,3684,13680,5844,3684,6396,40020,64688,67,36,23,36,7.25,1276,15080,0.376811594,0.382608696
14,AL,1027,Clay County,520,297,1162,487,289,522,3278,6240,3564,13944,5844,3468,6264,39336,60216,67,60,22,50,7.25,1276,15080,0.38336384,0.389261745
15,AL,1029,Cleburne County,561,340,1125,470,319,537,3352,6732,4080,13500,5640,3828,6444,40224,71833,67,54,55,20,7.25,1276,15080,0.374900557,0.380668258
16,AL,1031,Coffee County,607,360,1116,470,343,556,3452,7284,4320,13392,5640,4116,6672,41424,76211,67,42,61,13,7.25,1276,15080,0.36404017,0.369640788
17,AL,1033,Colbert County,605,353,1065,486,339,544,3392,7260,4236,12780,5832,4068,6528,40704,69400,67,12,24,27,7.25,1276,15080,0.37047956,0.376179245
18,AL,1035,Conecuh County,560,311,1188,487,308,546,3402,6720,3732,14256,5844,3696,6552,40824,55380,67,31,9,59,7.25,1276,15080,0.369390555,0.375073486
19,AL,1037,Coosa County,579,332,1171,487,322,555,3447,6948,3984,14052,5844,3864,6660,41364,64482,67,49,28,38,7.25,1276,15080,0.364568224,0.370176965
20,AL,1039,Covington County,558,309,1143,470,307,530,3317,6696,3708,13716,5640,3684,6360,39804,66211,67,46,37,35,7.25,1276,15080,0.378856396,0.384684956
21,AL,1041,Crenshaw County,560,363,1218,487,327,570,3526,6720,4356,14616,5844,3924,6840,42312,69602,67,44,47,26,7.25,1276,15080,0.356400076,0.361883154
22,AL,1043,Cullman County,627,344,1132,470,344,561,3478,7524,4128,13584,5640,4128,6732,41736,72331,67,25,43,18,7.25,1276,15080,0.361318766,0.366877516
23,AL,1045,Dale County,633,328,1094,487,340,553,3435,7596,3936,13128,5844,4080,6636,41220,67776,67,59,52,31,7.25,1276,15080,0.365841824,0.37147016
24,AL,1047,Dallas County,597,325,1015,470,326,517,3251,7164,3900,12180,5640,3912,6204,39012,52453,67,48,8,62,7.25,1276,15080,0.386547729,0.392494617
25,AL,1049,DeKalb County,560,303,1146,487,305,533,3335,6720,3636,13752,5844,3660,6396,40020,59225,67,66,26,55,7.25,1276,15080,0.376811594,0.382608696
26,AL,1051,Elmore County,699,352,1130,510,372,596,3658,8388,4224,13560,6120,4464,7152,43896,84463,67,11,63,6,7.25,1276,15080,0.343539275,0.348824494
27,AL,1053,Escambia County,560,310,1120,470,308,526,3295,6720,3720,13440,5640,3696,6312,39540,57329,67,45,11,57,7.25,1276,15080,0.381385938,0.387253414
28,AL,1055,Etowah County,514,338,1075,489,302,513,3231,6168,4056,12900,5868,3624,6156,38772,67242,67,53,45,32,7.25,1276,15080,0.388940473,0.394924172
29,AL,1057,Fayette County,560,302,1153,487,305,535,3342,6720,3624,13836,5844,3660,6420,40104,62336,67,55,25,44,7.25,1276,15080,0.376022342,0.381807301
30,AL,1059,Franklin County,560,287,1194,487,300,540,3368,6720,3444,14328,5844,3600,6480,40416,61857,67,38,20,46,7.25,1276,15080,0.373119557,0.378859857
31,AL,1061,Geneva County,527,323,1133,497,301,528,3309,6324,3876,13596,5964,3612,6336,39708,60345,67,57,21,49,7.25,1276,15080,0.379772338,0.385614989
32,AL,1063,Greene County,623,374,1119,476,353,568,3513,7476,4488,13428,5712,4236,6816,42156,53019,67,20,7,60,7.25,1276,15080,0.357718949,0.363222317
33,AL,1065,Hale County,553,374,1155,476,328,554,3440,6636,4488,13860,5712,3936,6648,41280,64661,67,18,18,37,7.25,1276,15080,0.365310078,0.370930233
34,AL,1067,Henry County,558,359,1197,497,325,565,3501,6696,4308,14364,5964,3900,6780,42012,75475,67,33,56,15,7.25,1276,15080,0.358945063,0.364467295
35,AL,1069,Houston County,638,355,1059,497,352,557,3458,7656,4260,12708,5964,4224,6684,41496,72526,67,50,54,17,7.25,1276,15080,0.363408521,0.368999422
36,AL,1071,Jackson County,560,305,1101,487,306,523,3282,6720,3660,13212,5844,3672,6276,39384,59400,67,67,27,54,7.25,1276,15080,0.382896608,0.388787325
37,AL,1073,Jefferson County,863,373,976,518,438,621,3789,10356,4476,11712,6216,5256,7452,45468,83299,67,3,50,9,7.25,1276,15080,0.331661828,0.336764318
38,AL,1075,Lamar County,560,302,1146,487,305,533,3334,6720,3624,13752,5844,3660,6396,40008,63495,67,56,29,40,7.25,1276,15080,0.376924615,0.382723455
39,AL,1077,Lauderdale County,557,338,1054,486,317,522,3274,6684,4056,12648,5832,3804,6264,39288,76544,67,23,53,12,7.25,1276,15080,0.383832213,0.389737324
40,AL,1079,Lawrence County,562,302,1149,495,306,536,3349,6744,3624,13788,5940,3672,6432,40188,71188,67,27,38,23,7.25,1276,15080,0.375236389,0.381009256
41,AL,1081,Lee County,722,379,1055,531,390,599,3676,8664,4548,12660,6372,4680,7188,44112,86772,67,6,59,5,7.25,1276,15080,0.341857091,0.347116431
42,AL,1083,Limestone County,612,369,1228,537,347,603,3697,7344,4428,14736,6444,4164,7236,44364,95707,67,7,65,3,7.25,1276,15080,0.339915247,0.345144712
43,AL,1085,Lowndes County,528,361,1119,480,315,534,3336,6336,4332,13428,5760,3780,6408,40032,50126,67,22,5,63,7.25,1276,15080,0.376698641,0.382494005
44,AL,1087,Macon County,584,373,1054,487,339,542,3380,7008,4476,12648,5844,4068,6504,40560,52617,67,24,6,61,7.25,1276,15080,0.371794872,0.377514793
45,AL,1089,Madison County,760,354,1085,537,394,612,3743,9120,4248,13020,6444,4728,7344,44916,101032,67,5,66,2,7.25,1276,15080,0.335737822,0.340903019
46,AL,1091,Marengo County,560,327,1117,487,314,534,3340,6720,3924,13404,5844,3768,6408,40080,67083,67,52,42,33,7.25,1276,15080,0.376247505,0.382035928
47,AL,1093,Marion County,495,302,1140,470,282,506,3195,5940,3624,13680,5640,3384,6072,38340,63260,67,58,35,43,7.25,1276,15080,0.3933229,0.399374022
48,AL,1095,Marshall County,565,319,1109,487,313,531,3324,6780,3828,13308,5844,3756,6372,39888,71511,67,65,64,21,7.25,1276,15080,0.378058564,0.38387485
49,AL,1097,Mobile County,738,345,1004,478,383,568,3516,8856,4140,12048,5736,4596,6816,42192,70688,67,14,31,24,7.25,1276,15080,0.357413728,0.3629124
50,AL,1099,Monroe County,560,312,1098,487,309,525,3290,6720,3744,13176,5844,3708,6300,39480,59610,67,37,15,53,7.25,1276,15080,0.381965552,0.387841945
51,AL,1101,Montgomery County,709,357,982,510,377,565,3500,8508,4284,11784,6120,4524,6780,42000,71258,67,15,36,22,7.25,1276,15080,0.359047619,0.364571429
52,AL,1103,Morgan County,637,345,1072,495,348,556,3452,7644,4140,12864,5940,4176,6672,41424,79360,67,16,57,11,7.25,1276,15080,0.36404017,0.369640788
53,AL,1105,Perry County,604,330,1127,470,331,548,3410,7248,3960,13524,5640,3972,6576,40920,40462,67,47,1,67,7.25,1276,15080,0.368523949,0.374193548
54,AL,1107,Pickens County,558,338,1135,480,317,540,3368,6696,4056,13620,5760,3804,6480,40416,59738,67,32,13,52,7.25,1276,15080,0.373119557,0.378859857
55,AL,1109,Pike County,673,360,1131,487,366,585,3601,8076,4320,13572,5844,4392,7020,43212,68530,67,40,39,30,7.25,1276,15080,0.348977136,0.354346015
56,AL,1111,Randolph County,560,299,1142,470,304,527,3302,6720,3588,13704,5640,3648,6324,39624,62321,67,62,33,45,7.25,1276,15080,0.380577428,0.386432465
57,AL,1113,Russell County,681,329,1022,531,357,562,3482,8172,3948,12264,6372,4284,6744,41784,60960,67,13,10,48,7.25,1276,15080,0.360903695,0.36645606
58,AL,1115,St. Clair County,813,349,1154,518,411,639,3885,9756,4188,13848,6216,4932,7668,46620,83565,67,2,46,8,7.25,1276,15080,0.323466323,0.328442728
59,AL,1117,Shelby County,1000,381,1124,518,489,702,4214,12000,4572,13488,6216,5868,8424,50568,112123,67,1,67,1,7.25,1276,15080,0.298212308,0.30280019
60,AL,1119,Sumter County,679,328,1061,470,356,556,3451,8148,3936,12732,5640,4272,6672,41412,46198,67,41,4,65,7.25,1276,15080,0.364145658,0.369747899
61,AL,1121,Talladega County,504,315,1062,487,290,499,3157,6048,3780,12744,5844,3480,5988,37884,66224,67,61,48,34,7.25,1276,15080,0.398057227,0.404181185
62,AL,1123,Tallapoosa County,598,332,1100,487,329,544,3390,7176,3984,13200,5844,3948,6528,40680,63358,67,28,19,42,7.25,1276,15080,0.370698132,0.37640118
63,AL,1125,Tuscaloosa County,826,381,1070,476,427,624,3803,9912,4572,12840,5712,5124,7488,45636,83129,67,10,60,10,7.25,1276,15080,0.33044088,0.335524586
64,AL,1127,Walker County,560,317,1104,509,310,533,3332,6720,3804,13248,6108,3720,6396,39984,68810,67,39,41,29,7.25,1276,15080,0.37715086,0.382953181
65,AL,1129,Washington County,661,307,1222,480,343,584,3598,7932,3684,14664,5760,4116,7008,43176,75492,67,17,51,14,7.25,1276,15080,0.349268112,0.354641467
66,AL,1131,Wilcox County,675,318,1119,487,351,569,3519,8100,3816,13428,5844,4212,6828,42228,46269,67,26,3,64,7.25,1276,15080,0.357109027,0.362603012
67,AL,1133,Winston County,560,294,1144,487,302,530,3318,6720,3528,13728,5844,3624,6360,39816,61537,67,34,17,47,7.25,1276,15080,0.378742214,0.384569017
68,AK,2013,Aleutians East Borough,865,445,1223,620,464,579,4196,10380,5340,14676,7440,5568,6948,50352,79922,30,13,8,20,11.73,2064.48,24398.4,0.484556721,0.492011439
69,AK,2016,Aleutians West Census Area,1202,445,1009,620,583,639,4498,14424,5340,12108,7440,6996,7668,53976,111607,30,6,23,4,11.73,2064.48,24398.4,0.452023121,0.458977323
70,AK,2020,Anchorage Municipality,932,427,1066,527,481,543,3976,11184,5124,12792,6324,5772,6516,47712,115272,30,7,29,2,11.73,2064.48,24398.4,0.511368209,0.519235412
71,AK,2050,Bethel Census Area,1417,471,851,614,669,686,4708,17004,5652,10212,7368,8028,8232,56496,67266,30,3,2,27,11.73,2064.48,24398.4,0.431860663,0.438504673
72,AK,2060,Bristol Bay Borough,769,445,1326,620,430,573,4163,9228,5340,15912,7440,5160,6876,49956,104688,30,11,20,8,11.73,2064.48,24398.4,0.48839779,0.495911602
73,AK,2063,Chugach Census Area,899,427,862,614,470,511,3783,10788,5124,10344,7368,5640,6132,45396,96290,30,26,22,14,11.73,2064.48,24398.4,0.537457045,0.545725615
74,AK,2066,Copper River Census Area,781,434,862,614,430,480,3602,9372,5208,10344,7368,5160,5760,43224,95208,30,27,24,15,11.73,2064.48,24398.4,0.564464187,0.573148251
75,AK,2068,Denali Borough,1021,416,862,620,509,541,3969,12252,4992,10344,7440,6108,6492,47628,131750,30,22,30,1,11.73,2064.48,24398.4,0.512270093,0.520151172
76,AK,2070,Dillingham Census Area,884,471,945,614,480,535,3930,10608,5652,11340,7368,5760,6420,47160,72500,30,23,5,25,11.73,2064.48,24398.4,0.51735369,0.525312977
77,AK,2090,Fairbanks North Star Borough,993,416,1162,550,499,580,4200,11916,4992,13944,6600,5988,6960,50400,100854,30,4,16,12,11.73,2064.48,24398.4,0.484095238,0.491542857
78,AK,2100,Haines Borough,919,432,1152,533,478,559,4074,11028,5184,13824,6396,5736,6708,48888,101875,30,16,19,10,11.73,2064.48,24398.4,0.499067256,0.506745214
79,AK,2105,Hoonah-Angoon Census Area,855,437,1307,533,457,573,4163,10260,5244,15684,6396,5484,6876,49956,79063,30,19,9,21,11.73,2064.48,24398.4,0.48839779,0.495911602
80,AK,2110,Juneau City and Borough,1002,430,1152,533,507,580,4205,12024,5160,13824,6396,6084,6960,50460,113750,30,5,26,3,11.73,2064.48,24398.4,0.48351962,0.490958383
81,AK,2122,Kenai Peninsula Borough,901,458,1223,542,481,577,4182,10812,5496,14676,6504,5772,6924,50184,101126,30,21,21,11,11.73,2064.48,24398.4,0.486178862,0.493658537
82,AK,2130,Ketchikan Gateway Borough,905,420,1227,533,469,566,4121,10860,5040,14724,6396,5628,6792,49452,105493,30,18,25,7,11.73,2064.48,24398.4,0.493375394,0.500965785
83,AK,2150,Kodiak Island Borough,1094,445,1291,620,545,678,4673,13128,5340,15492,7440,6540,8136,56076,104276,30,2,17,9,11.73,2064.48,24398.4,0.435095228,0.441789001
84,AK,2158,Kusilvak Census Area,640,445,974,620,384,469,3532,7680,5340,11688,7440,4608,5628,42384,43882,30,28,1,30,11.73,2064.48,24398.4,0.575651189,0.584507361
85,AK,2164,Lake and Peninsula Borough,605,445,960,620,372,457,3458,7260,5340,11520,7440,4464,5484,41496,64875,30,30,7,28,11.73,2064.48,24398.4,0.587969925,0.597015616
86,AK,2170,Matanuska-Susitna Borough,830,434,1276,550,448,563,4100,9960,5208,15312,6600,5376,6756,49200,100753,30,20,18,13,11.73,2064.48,24398.4,0.495902439,0.503531707
87,AK,2180,Nome Census Area,1156,438,868,620,564,585,4230,13872,5256,10416,7440,6768,7020,50760,70588,30,17,4,26,11.73,2064.48,24398.4,0.480661939,0.488056738
88,AK,2185,North Slope Borough,1188,416,788,620,568,572,4152,14256,4992,9456,7440,6816,6864,49824,92656,30,8,14,16,11.73,2064.48,24398.4,0.489691715,0.497225434
89,AK,2188,Northwest Arctic Borough,1150,416,824,620,555,569,4134,13800,4992,9888,7440,6660,6828,49608,77546,30,9,6,23,11.73,2064.48,24398.4,0.491823899,0.499390421
90,AK,2195,Petersburg Borough,893,434,1271,533,470,576,4177,10716,5208,15252,6396,5640,6912,50124,90037,30,14,15,18,11.73,2064.48,24398.4,0.486760833,0.494249461
91,AK,2198,Prince of Wales-Hyder Census Area,764,410,1330,533,416,546,3999,9168,4920,15960,6396,4992,6552,47988,77548,30,24,12,22,11.73,2064.48,24398.4,0.508427107,0.516249062
92,AK,2220,Sitka City and Borough,956,434,1222,533,492,583,4221,11472,5208,14664,6396,5904,6996,50652,107896,30,15,27,6,11.73,2064.48,24398.4,0.481686804,0.48909737
93,AK,2230,Skagway Municipality,963,430,1319,533,493,605,4344,11556,5160,15828,6396,5916,7260,52128,110833,30,10,28,5,11.73,2064.48,24398.4,0.468047882,0.475248619
94,AK,2240,Southeast Fairbanks Census Area,867,416,1233,620,454,574,4164,10404,4992,14796,7440,5448,6888,49968,82135,30,12,11,19,11.73,2064.48,24398.4,0.4882805,0.495792507
95,AK,2275,Wrangell City and Borough,694,439,1158,533,401,501,3726,8328,5268,13896,6396,4812,6012,44712,77500,30,25,13,24,11.73,2064.48,24398.4,0.545679012,0.554074074
96,AK,2282,Yakutat City and Borough,884,430,1738,620,465,720,4858,10608,5160,20856,7440,5580,8640,58296,90750,30,1,10,17,11.73,2064.48,24398.4,0.418526142,0.424965006
97,AK,2290,Yukon-Koyukuk Census Area,829,416,876,620,441,492,3674,9948,4992,10512,7440,5292,5904,44088,59458,30,29,3,29,11.73,2064.48,24398.4,0.553402286,0.561916168
98,AZ,4001,Apache County,618,340,1219,626,339,546,3687,7416,4080,14628,7512,4068,6552,44244,46534,15,6,1,15,14.35,2525.6,29848,0.674622548,0.685001356
99,AZ,4003,Cochise County,727,316,1062,494,369,505,3472,8724,3792,12744,5928,4428,6060,41664,73643,15,13,12,7,14.35,2525.6,29848,0.716397849,0.727419355
100,AZ,4005,Coconino County,1227,369,1114,548,565,715,4538,14724,4428,13368,6576,6780,8580,54456,86862,15,1,9,2,14.35,2525.6,29848,0.548112237,0.556544733
101,AZ,4007,Gila County,830,331,1090,410,411,529,3601,9960,3972,13080,4920,4932,6348,43212,64786,15,14,7,9,14.35,2525.6,29848,0.690734055,0.701360733
102,AZ,4009,Graham County,845,324,1168,486,414,568,3804,10140,3888,14016,5832,4968,6816,45648,71035,15,11,10,8,14.35,2525.6,29848,0.653873116,0.663932702
103,AZ,4011,Greenlee County,639,324,1245,486,341,521,3555,7668,3888,14940,5832,4092,6252,42660,78172,15,12,13,6,14.35,2525.6,29848,0.699671824,0.710436006
104,AZ,4012,La Paz County,743,333,1065,633,381,549,3704,8916,3996,12780,7596,4572,6588,44448,58960,15,9,3,13,14.35,2525.6,29848,0.671526278,0.681857451
105,AZ,4013,Maricopa County,1352,334,975,377,597,660,4296,16224,4008,11700,4524,7164,7920,51552,94672,15,3,14,1,14.35,2525.6,29848,0.578988206,0.587895717
106,AZ,4015,Mohave County,711,333,1005,634,370,525,3578,8532,3996,12060,7608,4440,6300,42936,64283,15,7,5,10,14.35,2525.6,29848,0.695174213,0.705869201
107,AZ,4017,Navajo County,722,329,1151,626,372,559,3758,8664,3948,13812,7512,4464,6708,45096,58541,15,5,2,14,14.35,2525.6,29848,0.661876885,0.672059606
108,AZ,4019,Pima County,786,333,969,361,396,478,3324,9432,3996,11628,4332,4752,5736,39888,82620,15,10,15,3,14.35,2525.6,29848,0.748295227,0.759807461
109,AZ,4021,Pinal County,1212,319,1087,391,542,641,4194,14544,3828,13044,4692,6504,7692,50328,80809,15,4,11,4,14.35,2525.6,29848,0.593069464,0.60219361
110,AZ,4023,Santa Cruz County,605,279,1171,374,313,454,3197,7260,3348,14052,4488,3756,5448,38364,59444,15,15,8,12,14.35,2525.6,29848,0.778021061,0.789990616
111,AZ,4025,Yavapai County,857,355,1032,611,429,579,3863,10284,4260,12384,7332,5148,6948,46356,78461,15,2,6,5,14.35,2525.6,29848,0.643886444,0.653792389
112,AZ,4027,Yuma County,810,299,1025,622,393,547,3696,9720,3588,12300,7464,4716,6564,44352,61867,15,8,4,11,14.35,2525.6,29848,0.672979798,0.683333333
113,AR,5001,Arkansas County,509,310,1115,438,290,484,3146,6108,3720,13380,5256,3480,5808,37752,71861,75,44,67,13,11,1936,22880,0.606060606,0.615384615
114,AR,5003,Ashley County,594,300,1189,438,316,529,3365,7128,3600,14268,5256,3792,6348,40380,60030,75,43,27,49,11,1936,22880,0.566617137,0.575334324
115,AR,5005,Baxter County,599,332,1053,438,330,507,3259,7188,3984,12636,5256,3960,6084,39108,59981,75,31,25,50,11,1936,22880,0.585046538,0.594047254
116,AR,5007,Benton County,781,335,1115,447,395,588,3662,9372,4020,13380,5364,4740,7056,43944,97168,75,1,75,1,11,1936,22880,0.520662662,0.528672856
117,AR,5009,Boone County,539,317,1112,438,303,496,3205,6468,3804,13344,5256,3636,5952,38460,66617,75,57,59,21,11,1936,22880,0.594903796,0.604056162
118,AR,5011,Bradley County,539,312,1146,438,301,503,3239,6468,3744,13752,5256,3612,6036,38868,60497,75,39,31,46,11,1936,22880,0.588659051,0.597715344
119,AR,5013,Calhoun County,608,307,1289,438,324,561,3528,7296,3684,15468,5256,3888,6732,42336,65800,75,18,43,24,11,1936,22880,0.540438398,0.548752834
120,AR,5015,Carroll County,485,313,1159,438,283,488,3166,5820,3756,13908,5256,3396,5856,37992,68994,75,38,63,14,11,1936,22880,0.602232049,0.611497157
121,AR,5017,Chicot County,543,313,1057,438,303,482,3135,6516,3756,12684,5256,3636,5784,37620,53495,75,64,11,66,11,1936,22880,0.608187135,0.61754386
122,AR,5019,Clark County,552,316,1109,438,307,500,3222,6624,3792,13308,5256,3684,6000,38664,66543,75,50,58,22,11,1936,22880,0.591764949,0.600869025
123,AR,5021,Clay County,543,281,1128,438,292,490,3171,6516,3372,13536,5256,3504,5880,38052,59157,75,70,33,55,11,1936,22880,0.601282456,0.610532955
124,AR,5023,Cleburne County,583,322,1129,438,321,518,3310,6996,3864,13548,5256,3852,6216,39720,64091,75,21,36,32,11,1936,22880,0.576032226,0.58489426
125,AR,5025,Cleveland County,488,317,1204,447,285,505,3246,5856,3804,14448,5364,3420,6060,38952,72857,75,12,62,10,11,1936,22880,0.587389608,0.596426371
126,AR,5027,Columbia County,543,314,1109,438,303,496,3203,6516,3768,13308,5256,3636,5952,38436,58889,75,45,24,56,11,1936,22880,0.595275263,0.604433344
127,AR,5029,Conway County,539,297,1138,438,296,496,3204,6468,3564,13656,5256,3552,5952,38448,61839,75,63,38,41,11,1936,22880,0.595089471,0.604244694
128,AR,5031,Craighead County,562,316,1047,447,311,490,3172,6744,3792,12564,5364,3732,5880,38064,72208,75,15,61,11,11,1936,22880,0.601092896,0.610340479
129,AR,5033,Crawford County,593,305,1139,447,318,520,3323,7116,3660,13668,5364,3816,6240,39876,66704,75,13,37,20,11,1936,22880,0.573778714,0.582606079
130,AR,5035,Crittenden County,612,307,1002,447,325,492,3186,7344,3684,12024,5364,3900,5904,38232,60037,75,16,17,48,11,1936,22880,0.598451559,0.607658506
131,AR,5037,Cross County,554,290,1127,438,299,496,3203,6648,3480,13524,5256,3588,5952,38436,61332,75,69,40,43,11,1936,22880,0.595275263,0.604433344
132,AR,5039,Dallas County,539,306,1140,438,299,500,3223,6468,3672,13680,5256,3588,6000,38676,71923,75,47,70,12,11,1936,22880,0.591581342,0.600682594
133,AR,5041,Desha County,539,312,1090,438,301,489,3169,6468,3744,13080,5256,3612,5868,38028,50040,75,56,3,73,11,1936,22880,0.601661933,0.610918271
134,AR,5043,Drew County,570,314,1130,438,313,511,3275,6840,3768,13560,5256,3756,6132,39300,63163,75,37,41,37,11,1936,22880,0.582188295,0.591145038
135,AR,5045,Faulkner County,756,322,1082,447,382,567,3557,9072,3864,12984,5364,4584,6804,42684,79614,75,5,66,6,11,1936,22880,0.536032237,0.544278887
136,AR,5047,Franklin County,581,292,1147,447,309,513,3288,6972,3504,13764,5364,3708,6156,39456,67408,75,49,60,18,11,1936,22880,0.579886456,0.588807786
137,AR,5049,Fulton County,481,303,1119,438,277,473,3091,5772,3636,13428,5256,3324,5676,37092,50833,75,53,4,71,11,1936,22880,0.616844603,0.62633452
138,AR,5051,Garland County,646,325,1027,447,344,517,3305,7752,3900,12324,5364,4128,6204,39660,68326,75,10,44,15,11,1936,22880,0.576903681,0.585779123
139,AR,5053,Grant County,679,332,1202,447,358,574,3591,8148,3984,14424,5364,4296,6888,43092,85655,75,4,73,3,11,1936,22880,0.530957022,0.539125592
140,AR,5055,Greene County,556,295,1100,438,301,492,3182,6672,3540,13200,5256,3612,5904,38184,63750,75,62,51,34,11,1936,22880,0.599203855,0.608422376
141,AR,5057,Hempstead County,575,298,1171,438,309,517,3308,6900,3576,14052,5256,3708,6204,39696,60161,75,41,28,47,11,1936,22880,0.576380492,0.585247884
142,AR,5059,Hot Spring County,535,302,1121,438,296,492,3184,6420,3624,13452,5256,3552,5904,38208,63503,75,61,47,35,11,1936,22880,0.598827471,0.608040201
143,AR,5061,Howard County,489,297,1149,438,278,482,3132,5868,3564,13788,5256,3336,5784,37584,56071,75,65,18,63,11,1936,22880,0.608769689,0.618135377
144,AR,5063,Independence County,544,302,1149,438,299,502,3234,6528,3624,13788,5256,3588,6024,38808,62620,75,58,45,39,11,1936,22880,0.589569161,0.598639456
145,AR,5065,Izard County,539,330,1152,438,308,511,3277,6468,3960,13824,5256,3696,6132,39324,58294,75,29,19,58,11,1936,22880,0.581832977,0.590784254
146,AR,5067,Jackson County,539,304,1071,438,298,481,3131,6468,3648,12852,5256,3576,5772,37572,57354,75,68,22,60,11,1936,22880,0.608964122,0.618332801
147,AR,5069,Jefferson County,596,310,1001,447,321,488,3162,7152,3720,12012,5364,3852,5856,37944,63405,75,17,30,36,11,1936,22880,0.602993886,0.612270715
148,AR,5071,Johnson County,547,299,1144,438,300,501,3228,6564,3588,13728,5256,3600,6012,38736,52822,75,51,10,68,11,1936,22880,0.590665014,0.599752169
149,AR,5073,Lafayette County,539,317,1163,438,303,509,3269,6468,3804,13956,5256,3636,6108,39228,58338,75,30,20,57,11,1936,22880,0.583256857,0.59223004
150,AR,5075,Lawrence County,539,320,1124,438,304,500,3225,6468,3840,13488,5256,3648,6000,38700,57787,75,42,21,59,11,1936,22880,0.59121447,0.600310078
151,AR,5077,Lee County,539,284,1068,438,291,474,3094,6468,3408,12816,5256,3492,5688,37128,50338,75,73,7,72,11,1936,22880,0.616246499,0.625727214
152,AR,5079,Lincoln County,437,313,1125,447,266,466,3053,5244,3756,13500,5364,3192,5592,36636,64237,75,20,35,29,11,1936,22880,0.624522328,0.634130364
153,AR,5081,Little River County,543,319,1136,447,305,507,3257,6516,3828,13632,5364,3660,6084,39084,76776,75,14,69,9,11,1936,22880,0.585405793,0.594412036
154,AR,5083,Logan County,507,292,1179,438,283,494,3191,6084,3504,14148,5256,3396,5928,38292,64891,75,60,57,26,11,1936,22880,0.597513841,0.606706362
155,AR,5085,Lonoke County,762,318,1152,447,382,585,3647,9144,3816,13824,5364,4584,7020,43764,83730,75,3,71,4,11,1936,22880,0.522804131,0.530847272
156,AR,5087,Madison County,513,318,1199,447,294,512,3283,6156,3816,14388,5364,3528,6144,39396,59823,75,8,12,51,11,1936,22880,0.580769621,0.589704539
157,AR,5089,Marion County,546,333,1115,438,311,505,3249,6552,3996,13380,5256,3732,6060,38988,53983,75,27,9,65,11,1936,22880,0.586847235,0.595875654
158,AR,5091,Miller County,695,326,1051,447,361,540,3420,8340,3912,12612,5364,4332,6480,41040,61391,75,9,15,42,11,1936,22880,0.557504873,0.566081871
159,AR,5093,Mississippi County,532,293,1065,438,292,474,3094,6384,3516,12780,5256,3504,5688,37128,62701,75,74,55,38,11,1936,22880,0.616246499,0.625727214
160,AR,5095,Monroe County,481,281,1105,438,270,462,3037,5772,3372,13260,5256,3240,5544,36444,67631,75,71,64,16,11,1936,22880,0.627812534,0.637471189
161,AR,5097,Montgomery County,539,330,1168,438,308,515,3297,6468,3960,14016,5256,3696,6180,39564,56905,75,22,14,61,11,1936,22880,0.578303508,0.587200485
162,AR,5099,Nevada County,616,295,1136,438,323,521,3329,7392,3540,13632,5256,3876,6252,39948,47059,75,32,1,75,11,1936,22880,0.572744568,0.581556023
